EmployeeID,Salary,Education,Experience
1,49678,Bachelor,7
2,85054,Master,17
3,92780,Master,20
4,49345,Bachelor,4
5,38789,High School,5
6,43539,High School,7
7,64066,High School,13
8,80391,Master,15
9,65251,Bachelor,11
10,53039,Master,4
11,60460,High School,13
12,60197,Master,7
13,90379,Master,19
14,32857,High School,2
15,60597,High School,10
16,63922,High School,13
17,48426,Bachelor,6
18,68970,Bachelor,12
19,64076,Bachelor,12
20,82361,High School,20
21,67976,Bachelor,11
22,45038,High School,7
23,35390,High School,1
24,40738,Bachelor,1
25,89466,Bachelor,20
26,80190,Master,13
27,51764,High School,9
28,42239,Bachelor,3
29,51831,Bachelor,7
30,42553,High School,6
31,56769,Bachelor,8
32,53523,High School,9
33,43330,High School,5
34,46982,Master,1
35,89539,Master,19
36,71361,Master,10
37,66206,Bachelor,12
38,75661,High School,15
39,61377,Bachelor,9
40,84429,Bachelor,20
41,69287,High School,17
42,80947,Bachelor,17
43,79330,High School,20
44,74142,Master,12
45,48920,High School,7
46,41782,Bachelor,2
47,41960,Bachelor,3
48,74955,Bachelor,17
49,48160,Bachelor,5
50,75069,High School,17
51,85142,Master,17
52,80763,Master,17
53,47520,Master,2
54,48156,Master,2
55,46848,Bachelor,5
56,44961,Master,1
57,32675,High School,1
58,74071,High School,19
59,36073,High School,2
60,68682,Bachelor,12
61,55249,Bachelor,6
62,43161,High School,4
63,65367,Master,11
64,76687,Bachelor,17
65,46545,High School,6
66,51041,Bachelor,5
67,81545,High School,20
68,58558,Master,2
69,46713,High School,6
70,72907,Master,11
71,84862,Master,16
72,71954,High School,16
73,31554,High School,1
74,66777,Master,9
75,54682,Master,6
76,81290,Master,16
77,48044,Master,3
78,80246,High School,20
79,53944,Bachelor,4
80,71898,High School,19
81,51559,Master,3
82,79662,Bachelor,19
83,85584,Bachelor,20
84,50767,High School,7
85,87193,Bachelor,20
86,56267,Bachelor,9
87,42354,Master,1
88,59039,Bachelor,8
89,57309,Master,7
90,82649,Bachelor,18
91,50137,High School,8
92,42545,Master,1
93,75932,Master,11
94,83902,Bachelor,18
95,60925,Master,10
96,45059,Bachelor,3
97,52515,Bachelor,7
98,79557,Bachelor,16
99,67622,High School,16
100,79656,High School,20
